# tools/reflection/global_ucas.py 1.0.0 -- root packages of MISERY/Content/Paks/global.ucas
# 394 root packages, 394 of them under /Script/.
# A root package is an entry whose OuterIndex is Null (PackageStoreOptimizer.cpp:987).
# Presence means the cook saw the module. It does NOT mean the shipped game loads it.
package	objects	classes_with_cdo	class_default_objects	members_of_classes	package_members_unclassified
/Script/ACLPlugin	23	7	7	2	6
/Script/ACLPluginEditor	7	3	3	0	0
/Script/AIGraph	13	4	4	0	4
/Script/AIModule	695	175	175	223	103
/Script/AITestSuite	44	19	19	0	5
/Script/ActionableMessage	3	1	1	0	0
/Script/ActorLayerUtilities	7	1	1	3	1
/Script/ActorSequence	19	3	3	3	4
/Script/AddContentDialog	5	0	0	0	4
/Script/AdvancedPreviewScene	8	3	3	0	1
/Script/AdvancedWidgets	23	1	1	20	0
/Script/AlembicImporter	3	1	1	0	0
/Script/AlembicLibrary	19	3	3	0	12
/Script/AndroidFileServer	7	1	1	3	1
/Script/AndroidFileServerEditor	4	1	1	0	1
/Script/AndroidMediaEditor	3	1	1	0	0
/Script/AndroidMediaFactory	3	1	1	0	0
/Script/AndroidPermission	8	2	2	2	1
/Script/AnimGraph	281	126	126	13	15
/Script/AnimGraphRuntime	290	20	20	112	137
/Script/AnimationBlueprintLibrary	146	8	8	122	7
/Script/AnimationCore	25	1	1	0	22
/Script/AnimationData	6	2	2	0	1
/Script/AnimationDataController	3	1	1	0	0
/Script/AnimationEditMode	5	2	2	0	0
/Script/AnimationEditor	3	1	1	0	0
/Script/AnimationModifierLibrary	29	7	7	4	10
/Script/AnimationModifiers	9	3	3	2	0
/Script/AnimationSharing	27	7	7	7	5
/Script/AnimationSharingEd	3	1	1	0	0
/Script/AppleImageUtils	13	2	2	4	4
/Script/AppleImageUtilsBlueprintSupport	9	4	4	0	0
/Script/ArchVisCharacter	9	2	2	0	0
/Script/AssetDefinition	10	2	2	0	5
/Script/AssetManagerEditor	13	5	5	0	2
/Script/AssetRegistry	51	3	3	42	2
/Script/AssetTags	32	1	1	28	1
/Script/AssetTools	44	6	6	21	10
/Script/AudioAnalyzer	16	6	6	3	0
/Script/AudioCapture	19	4	4	7	3
/Script/AudioEditor	93	43	43	0	6
/Script/AudioExtensions	55	17	17	13	7
/Script/AudioLinkCore	3	1	1	0	0
/Script/AudioLinkEngine	7	1	1	4	0
/Script/AudioMixer	161	11	11	111	27
/Script/AudioPlatformConfiguration	3	0	0	0	2
/Script/AudioSynesthesia	75	17	17	12	21
/Script/AudioSynesthesiaEditor	7	3	3	0	0
/Script/AudioWidgets	90	10	10	44	25
/Script/AutomationController	12	1	1	0	9
/Script/AutomationMessages	26	0	0	0	25
/Script/AutomationTest	14	4	4	0	5
/Script/AutomationUtils	4	1	1	1	0
/Script/AutomationUtilsEditor	3	1	1	0	0
/Script/AvfMediaEditor	3	1	1	0	0
/Script/AvfMediaFactory	3	1	1	0	0
/Script/BaseCharacterFXEditor	7	3	3	0	0
/Script/BehaviorTreeEditor	46	21	21	0	3
/Script/BlendSpaceMotionAnalysis	9	3	3	0	2
/Script/BlueprintEditorLibrary	22	1	1	19	0
/Script/BlueprintGraph	292	130	130	0	31
/Script/BlueprintHeaderView	5	1	1	0	2
/Script/Blutility	184	47	47	76	10
/Script/Bridge	28	2	2	22	1
/Script/BuildPatchServices	8	1	1	0	5
/Script/CableComponent	11	2	2	5	0
/Script/CacheTrackRecorder	10	1	1	2	5
/Script/CascadeToNiagaraConverter	167	6	6	134	20
/Script/Chaos	48	0	0	0	47
/Script/ChaosCaching	44	6	6	10	17
