# tools/reflection/global_ucas.py 1.0.0 -- script object map of MISERY/Content/Paks/global.ucas
# 34912 entries, container order. NOT globally ascending by full name: case-insensitive check finds exactly 2 inversions (rows 0 and 17455), both at the seam of two 17456-row ascending runs; see script_objects_order in global-ucas.json.
# global_index / outer_index / cdo_class_index are the three FPackageObjectIndex fields of FScriptObjectEntry, hex, as stored.
# ffffffffffffffff is FPackageObjectIndex::Invalid (AsyncLoading2.h:61).
# role is this tool's vocabulary, NOT a UE type: see role_definitions in global-ucas.json. The container carries no type tag.
# path is reconstructed by walking OuterIndex and was confirmed for every row by recomputing FromScriptPath and matching global_index.
# sha256 of the body below, without this header: f07a624956561fc17825b045c7be0cb98fbd9705f147ba4a4341b0ae77c9029c
global_index	outer_index	cdo_class_index	name_number	role	path
4f5360273966bdcd	6ddb861abdc323f9	ffffffffffffffff	0	class_with_cdo	/Script/ImageWriteQueue/ImageWriteBlueprintLibrary
6af89b70b66e1cd5	793f948bdadd7e9e	ffffffffffffffff	0	package_member_unclassified	/Script/ACLPlugin/ACLCompressionLevel
794aeb305f970b7e	793f948bdadd7e9e	ffffffffffffffff	0	package_member_unclassified	/Script/ACLPlugin/ACLPhantomTrackMode
4bd19e95d2b0ca9e	793f948bdadd7e9e	ffffffffffffffff	0	package_member_unclassified	/Script/ACLPlugin/ACLRotationFormat
45818c094c71458b	793f948bdadd7e9e	ffffffffffffffff	0	package_member_unclassified	/Script/ACLPlugin/ACLVectorFormat
49f78e6245132c51	793f948bdadd7e9e	ffffffffffffffff	0	package_member_unclassified	/Script/ACLPlugin/ACLVisualFidelity
510c553062b1a6fa	793f948bdadd7e9e	ffffffffffffffff	0	package_member_unclassified	/Script/ACLPlugin/ACLVisualFidelityChangeResult
7546fcc127ef0dea	793f948bdadd7e9e	ffffffffffffffff	0	class_with_cdo	/Script/ACLPlugin/AnimationCompressionLibraryDatabase
78eeeb37075114f6	7546fcc127ef0dea	ffffffffffffffff	0	member_of_class_with_cdo	/Script/ACLPlugin/AnimationCompressionLibraryDatabase/GetVisualFidelity
7963a5f2d8eeeba3	7546fcc127ef0dea	ffffffffffffffff	0	member_of_class_with_cdo	/Script/ACLPlugin/AnimationCompressionLibraryDatabase/SetVisualFidelity
62c58c072e2c6980	793f948bdadd7e9e	ffffffffffffffff	0	class_with_cdo	/Script/ACLPlugin/AnimBoneCompressionCodec_ACL
4734dba8902997c3	793f948bdadd7e9e	ffffffffffffffff	0	class_with_cdo	/Script/ACLPlugin/AnimBoneCompressionCodec_ACLBase
4dcfbe8948eb2f66	793f948bdadd7e9e	ffffffffffffffff	0	class_with_cdo	/Script/ACLPlugin/AnimBoneCompressionCodec_ACLCustom
7aed3cef2d798894	793f948bdadd7e9e	ffffffffffffffff	0	class_with_cdo	/Script/ACLPlugin/AnimBoneCompressionCodec_ACLDatabase
69b9c0ad9adff359	793f948bdadd7e9e	ffffffffffffffff	0	class_with_cdo	/Script/ACLPlugin/AnimBoneCompressionCodec_ACLSafe
64179f19a35313a7	793f948bdadd7e9e	ffffffffffffffff	0	class_with_cdo	/Script/ACLPlugin/AnimCurveCompressionCodec_ACL
54968d7c79f8da2e	793f948bdadd7e9e	7546fcc127ef0dea	0	class_default_object	/Script/ACLPlugin/Default__AnimationCompressionLibraryDatabase
4f6e2d9c8c099365	793f948bdadd7e9e	62c58c072e2c6980	0	class_default_object	/Script/ACLPlugin/Default__AnimBoneCompressionCodec_ACL
5e92e897acb95c20	793f948bdadd7e9e	4734dba8902997c3	0	class_default_object	/Script/ACLPlugin/Default__AnimBoneCompressionCodec_ACLBase
6a5280bf8bb1077f	793f948bdadd7e9e	4dcfbe8948eb2f66	0	class_default_object	/Script/ACLPlugin/Default__AnimBoneCompressionCodec_ACLCustom
