# tools/reflection/engine_split.py 1.0.0 -- authoritative UE 5.4.4 module name set at changelist 35576357 (++UE5+Release-5.4, research/unreal/engine-version.json), read from Engine/Source/**/*.Build.cs and Engine/Plugins/**/*.uplugin
# 1841 distinct names: 653 from Engine/Source (1:1 with 653 *.Build.cs files), 1188 distinct from Engine/Plugins (from 609 *.uplugin files' Modules[] arrays)
module_name	source_kind	evidence_file	evidence_line
ACLPlugin	uplugin	Engine/Plugins/Animation/ACLPlugin/ACLPlugin.uplugin	18
ACLPluginEditor	uplugin	Engine/Plugins/Animation/ACLPlugin/ACLPlugin.uplugin	24
ADO	build.cs	Engine/Source/ThirdParty/ADO/ADO.Build.cs	5
ADOSupport	uplugin	Engine/Plugins/Runtime/Database/ADOSupport/ADOSupport.uplugin	19
AESBlockEncryptor	build.cs	Engine/Source/Runtime/PacketHandlers/EncryptionComponents/SymmetricEncryption/BlockEncryption/AESBlockEncryptor/AESBlockEncryptor.Build.cs	6
AESGCMHandlerComponent	uplugin	Engine/Plugins/Runtime/PacketHandlers/AESGCMHandlerComponent/AESGCMHandlerComponent.uplugin	20
AESHandlerComponent	uplugin	Engine/Plugins/Runtime/PacketHandlers/AESHandlerComponent/AESHandlerComponent.uplugin	20
AIGraph	build.cs	Engine/Source/Editor/AIGraph/AIGraph.Build.cs	5
AIModule	build.cs	Engine/Source/Runtime/AIModule/AIModule.Build.cs	7
AISupportModule	uplugin	Engine/Plugins/AI/AISupport/AISupport.uplugin	20
AITestSuite	build.cs	Engine/Source/Developer/AITestSuite/AITestSuite.Build.cs	5
AMD_AGS	build.cs	Engine/Source/ThirdParty/AMD/AMD_AGS/AMD_AGS.Build.cs	7
AMFCodecs	uplugin	Engine/Plugins/Experimental/AVCodecs/AMFCodecs/AMFCodecs.uplugin	18
AMFCodecsRHI	uplugin	Engine/Plugins/Experimental/AVCodecs/AMFCodecs/AMFCodecs.uplugin	29
ARUtilities	uplugin	Engine/Plugins/Runtime/AR/ARUtilities/ARUtilities.uplugin	20
AVCodecsCore	uplugin	Engine/Plugins/Experimental/AVCodecs/AVCodecsCore/AVCodecsCore.uplugin	18
AVCodecsCoreRHI	uplugin	Engine/Plugins/Experimental/AVCodecs/AVCodecsCore/AVCodecsCore.uplugin	24
AVEncoder	build.cs	Engine/Source/Runtime/AVEncoder/AVEncoder.Build.cs	9
AVIWriter	build.cs	Engine/Source/Runtime/AVIWriter/AVIWriter.Build.cs	5
AbilitySystemGameFeatureActions	uplugin	Engine/Plugins/Experimental/AbilitySystemGameFeatureActions/AbilitySystemGameFeatureActions.uplugin	19
ActionableMessage	build.cs	Engine/Source/Editor/ActionableMessage/ActionableMessage.build.cs	5
ActorLayerUtilities	uplugin	Engine/Plugins/Runtime/ActorLayerUtilities/ActorLayerUtilities.uplugin	19
ActorLayerUtilitiesEditor	uplugin	Engine/Plugins/Runtime/ActorLayerUtilities/ActorLayerUtilities.uplugin	24
ActorModifierCore	uplugin	Engine/Plugins/Experimental/ActorModifierCore/ActorModifierCore.uplugin	24
ActorModifierCoreEditor	uplugin	Engine/Plugins/Experimental/ActorModifierCore/ActorModifierCore.uplugin	29
ActorPalette	uplugin	Engine/Plugins/Experimental/ActorPalette/ActorPalette.uplugin	20
ActorPickerMode	build.cs	Engine/Source/Editor/ActorPickerMode/ActorPickerMode.Build.cs	5
ActorSequence	uplugin	Engine/Plugins/MovieScene/ActorSequence/ActorSequence.uplugin	20
ActorSequenceEditor	uplugin	Engine/Plugins/MovieScene/ActorSequence/ActorSequence.uplugin	25
AddContentDialog	build.cs	Engine/Source/Editor/AddContentDialog/AddContentDialog.Build.cs	5
AdjustEditor	uplugin	Engine/Plugins/Runtime/Analytics/Adjust/Adjust.uplugin	20
AdpcmAudioDecoder	build.cs	Engine/Source/Runtime/AdpcmAudioDecoder/Module/AdpcmAudioDecoder.Build.cs	5
AdvancedPreviewScene	build.cs	Engine/Source/Editor/AdvancedPreviewScene/AdvancedPreviewScene.Build.cs	5
AdvancedRenamer	uplugin	Engine/Plugins/Experimental/AdvancedRenamer/AdvancedRenamer.uplugin	19
AdvancedWidgets	build.cs	Engine/Source/Runtime/AdvancedWidgets/AdvancedWidgets.Build.cs	5
Advertising	build.cs	Engine/Source/Runtime/Advertising/Advertising/Advertising.Build.cs	5
AjaCore	uplugin	Engine/Plugins/Media/AjaMedia/AjaMedia.uplugin	18
AjaMedia	uplugin	Engine/Plugins/Media/AjaMedia/AjaMedia.uplugin	24
AjaMediaEditor	uplugin	Engine/Plugins/Media/AjaMedia/AjaMedia.uplugin	48
AjaMediaFactory	uplugin	Engine/Plugins/Media/AjaMedia/AjaMedia.uplugin	36
AjaMediaOutput	uplugin	Engine/Plugins/Media/AjaMedia/AjaMedia.uplugin	30
AlembicHairTranslatorModule	uplugin	Engine/Plugins/Importers/AlembicHairImporter/AlembicHairImporter.uplugin	19
AlembicImporter	uplugin	Engine/Plugins/Importers/AlembicImporter/AlembicImporter.uplugin	19
AlembicLib	build.cs	Engine/Source/ThirdParty/Alembic/AlembicLib.Build.cs	8
AlembicLibrary	uplugin	Engine/Plugins/Importers/AlembicImporter/AlembicImporter.uplugin	29
Amf	build.cs	Engine/Source/ThirdParty/AMD/Amf/Amf.Build.cs	4
Analytics	build.cs	Engine/Source/Runtime/Analytics/Analytics/Analytics.Build.cs	5
