# tools/reflection/engine_split.py 1.0.0 -- engine/game classification of the 394 /Script/<Module> root packages RF-01 found in MISERY/Content/Paks/global.ucas
# counts: {"collision": 0, "engine": 385, "game-misery": 1, "game-plugin": 4, "unclassified": 4}
# Rule: see this tool's module docstring, or $.rule in engine-split.json. 'unclassified' is reported, never guessed into another bucket.
package	category	matched_name	evidence_kind	evidence_file	evidence_line
/Script/ACLPlugin	engine	ACLPlugin	uplugin	Engine/Plugins/Animation/ACLPlugin/ACLPlugin.uplugin	18
/Script/ACLPluginEditor	engine	ACLPluginEditor	uplugin	Engine/Plugins/Animation/ACLPlugin/ACLPlugin.uplugin	24
/Script/AIGraph	engine	AIGraph	build.cs	Engine/Source/Editor/AIGraph/AIGraph.Build.cs	5
/Script/AIModule	engine	AIModule	build.cs	Engine/Source/Runtime/AIModule/AIModule.Build.cs	7
/Script/AITestSuite	engine	AITestSuite	build.cs	Engine/Source/Developer/AITestSuite/AITestSuite.Build.cs	5
/Script/ActionableMessage	engine	ActionableMessage	build.cs	Engine/Source/Editor/ActionableMessage/ActionableMessage.build.cs	5
/Script/ActorLayerUtilities	engine	ActorLayerUtilities	uplugin	Engine/Plugins/Runtime/ActorLayerUtilities/ActorLayerUtilities.uplugin	19
/Script/ActorSequence	engine	ActorSequence	uplugin	Engine/Plugins/MovieScene/ActorSequence/ActorSequence.uplugin	20
/Script/AddContentDialog	engine	AddContentDialog	build.cs	Engine/Source/Editor/AddContentDialog/AddContentDialog.Build.cs	5
/Script/AdvancedPreviewScene	engine	AdvancedPreviewScene	build.cs	Engine/Source/Editor/AdvancedPreviewScene/AdvancedPreviewScene.Build.cs	5
/Script/AdvancedWidgets	engine	AdvancedWidgets	build.cs	Engine/Source/Runtime/AdvancedWidgets/AdvancedWidgets.Build.cs	5
/Script/AlembicImporter	engine	AlembicImporter	uplugin	Engine/Plugins/Importers/AlembicImporter/AlembicImporter.uplugin	19
/Script/AlembicLibrary	engine	AlembicLibrary	uplugin	Engine/Plugins/Importers/AlembicImporter/AlembicImporter.uplugin	29
